site,potential_evaporation,skin_temperature,soil_temperature_level_1,evaporation_from_vegetation_transpiration,lat,lon,P,Q,P-Q,Q/P,(P-Q)/P,empty
4127997,-1.8827043020546714,1.73445986882202,1.9716509619942622,-1.497268775649778,45.27446,-84.60003,-0.7668773306964645,-3.0391064586859886,0.8520859229960717,-2.4426463125887388,2.4426463125887388,
4161580,-1.942002075347732,1.6455132088824294,1.1711310225379452,-2.1198953952269135,42.80086,-83.09021,1.3917403408935838,-0.7668773306964645,1.9029918946912268,-1.931394758791096,1.931394758791096,
4185000,-2.1198953952269135,2.1198953952269135,1.7937576421150807,-2.060597621933853,41.5045,-84.42967,-0.028402864099869057,-0.3692372332982977,0.42604296149803583,-0.4544458255979049,0.4544458255979049,
4196800,-1.586215435589369,1.8827043020546714,1.73445986882202,-1.6751620955289597,40.92283,-83.34881,0.6532658742969882,1.2497260203942384,-1.5621575254927982,1.9029918946912268,-1.9029918946912268,
4197100,-1.5565665489428386,1.942002075347732,1.70481098217549,-1.8530554154081411,41.02228,-83.10964,1.3349346126938455,1.5905603895926672,-0.08520859229960717,1.2781288844941074,-1.2781288844941074,
4197170,-1.8827043020546714,1.9123531887012017,1.8530554154081411,-1.7937576421150807,41.11367,-83.16825,-0.8853537222077292,0.6648745782240313,-1.6054288596141244,0.6648745782240313,-1.5729959533592937,
4213000,-0.6670999495469309,1.497268775649778,1.467619889003248,-1.2897265691240662,41.927,-80.60396999999999,-0.3976400973981668,0.5396544178975121,-1.5905603895926672,1.1929202921945004,-1.1929202921945004,
4213075,-0.7560466094865216,1.7641087554685504,1.615864322235899,-1.2897265691240662,41.992,-80.29117,0.0,1.5944352561537738,-1.5944352561537738,1.5944352561537738,-1.5944352561537738,
4216418,-0.42990885637468873,1.9123531887012017,1.9716509619942622,-1.497268775649778,42.86395,-78.28363,1.4769489331931909,1.2497260203942384,1.1361145639947623,0.5396544178975121,-0.5396544178975121,
4221000,-1.0525354759518242,1.9123531887012017,1.70481098217549,-1.1711310225379452,42.12229,-77.95721999999999,1.5905603895926672,1.164517428094631,0.9941002434954168,1.050905971695155,-1.050905971695155,
4224775,-0.6967488361934611,1.8530554154081411,1.4083221157101873,-1.0525354759518242,42.53562,-77.70416,1.6473661177924053,1.4485460690933218,0.8520859229960717,1.1361145639947623,-1.1361145639947623,
4233000,-1.2007799091844755,1.8530554154081411,1.70481098217549,-1.1118332492448848,42.39313,-76.54494,1.8438351100171997,1.8438351100171997,0.015494412689220163,1.5339468562327965,-1.5339468562327965,
4256000,-0.48920662966774925,1.497268775649778,2.5646286949248673,-1.467619889003248,43.74729,-75.33435,1.6757689818922743,0.6248630101971192,1.3633374767937148,-0.7952801947963336,0.7952801947963336,
4296000,1.1118332492448848,1.73445986882202,1.823406528761611,-0.04447332996979539,44.86894,-72.2701,1.7325747100920124,2.726674953587429,-2.045006215190572,3.6923723329829774,-3.6923723329829774,
5056000,1.2007799091844755,-0.42990885637468873,-0.5485044029608098,0.459557743021219,47.80555,-98.71621999999999,2.471049176688608,2.8686892740867744,2.10181194339031,2.329034856189262,-2.329034856189262,
5057000,1.1711310225379452,-0.459557743021219,-0.48920662966774925,0.42990885637468873,47.43277,-98.0276,2.10181194339031,3.0107035945861202,1.6189632536925362,2.9254950022865134,-2.9254950022865134,
5057200,0.7263977228399914,-0.34096219643509795,-0.40025996972815847,0.2520155364955072,47.22916,-98.12482,0.5680572819973811,2.5278549048883456,0.17041718459921434,2.8402864099869056,-2.8402864099869056,
5062500,-0.34096219643509795,0.459557743021219,-0.19271776320244668,-0.8449932694261124,47.26663,-96.24478,2.343236288239197,3.592962308633436,1.5763589575427326,3.734976629132781,0.4118415294481013,
5087500,1.6455132088824294,0.10377110326285591,-0.16306887655591643,0.7263977228399914,48.34109,-96.81812,0.9088916511958098,2.6414663612878218,0.0,2.7550778176872983,-1.8745890305913575,
5120500,1.0821843625983545,-0.40025996972815847,-0.8449932694261124,0.40025996972815847,48.13834,-100.53986,1.5905603895926672,1.1929202921945004,1.3349346126938455,1.1361145639947623,-1.1361145639947623,
5123400,1.9123531887012017,-0.7263977228399914,-0.28166442314203743,1.0525354759518242,48.58889,-100.44208,1.81778330239162,1.81778330239162,1.4201432049934528,1.8461861664914887,-1.8461861664914887,
5129115,-1.0821843625983545,0.9635888160122335,0.22236664984897694,-1.1711310225379452,48.26463,-92.56599,-0.8236830588962026,-1.2781288844941074,-0.17041718459921434,-0.8236830588962026,0.8236830588962026,
5131500,-0.8449932694261124,0.8746421560726426,0.10377110326285591,-0.9042910427191729,48.39578,-93.54933,-1.4485460690933218,-0.6248630101971192,-1.022503107595286,0.0,0.0,
5291000,-0.40025996972815847,0.42990885637468873,0.8153443827795821,-0.9932377026587637,45.29163,-96.48756,1.022503107595286,1.7893804382917504,-0.08520859229960717,2.045006215190572,-2.045006215190572,
5362000,-2.149544281873444,1.0821843625983545,0.7560466094865216,-2.060597621933853,45.30803,-90.95652,0.0,-0.9941002434954168,1.8745890305913575,-1.3633374767937148,1.3633374767937148,
5393500,-2.060597621933853,1.1118332492448848,0.7560466094865216,-1.9716509619942622,45.44913,-89.97931,-0.4544458255979049,-1.2781288844941074,1.2497260203942384,-1.2781288844941074,1.2781288844941074,
5399500,-2.060597621933853,1.141482135891415,0.7856954961330519,-1.823406528761611,44.821909999999995,-90.07958,-1.3917403408935838,-1.1929202921945004,-0.2840286409986906,-1.050905971695155,1.050905971695155,
5408000,-1.1711310225379452,1.2897265691240662,1.2897265691240662,-0.7560466094865216,43.57414,-90.64319,0.8236830588962026,-0.7100716024967264,1.2497260203942384,-1.5621575254927982,1.5621575254927982,
5412500,-1.1118332492448848,1.4379710023567176,0.8153443827795821,-1.0228865893052939,42.73999,-91.2618,0.6532658742969882,0.42604296149803583,0.4544458255979049,0.3692372332982977,-0.3692372332982977,
5413500,-0.6078021762538703,1.4379710023567176,1.0821843625983545,-0.57815328960734,42.72027,-90.81929000000001,0.8520859229960717,1.704171845992143,-0.7100716024967264,1.7609775741918814,-1.7609775741918814,
5414000,-0.5485044029608098,1.4083221157101873,1.0821843625983545,-0.57815328960734,42.7311,-90.64041,0.08520859229960717,0.7668773306964645,-0.9088916511958098,1.050905971695155,-1.050905971695155,
