site,potential_evaporation,skin_temperature,soil_temperature_level_1,evaporation_from_vegetation_transpiration,lat,lon,P,Q,P-Q,Q/P,(P-Q)/P,tree_canopy_cover,impervious
1195100,-0.34096219643509795,1.497268775649778,1.823406528761611,-0.459557743021219,41.30593,-72.5312,0.0,-0.26683997981877233,0.26683997981877233,-0.26683997981877233,0.26683997981877233,-1.4303846500783102,7.125768300662881
1333000,-0.6078021762538703,1.70481098217549,1.9123531887012015,-0.9042910427191728,42.70897,-73.19677,1.8461861664914887,2.1586176715900485,-1.3917403408935838,2.2722291279895246,-2.2722291279895246,0.1934277393068017,0.42381194162672065
1350000,-1.2304287958310058,1.7937576421150807,2.090246508580383,-1.6158643222358993,42.31953,-74.43654000000002,3.1242800452428234,2.073385848206601,0.7952712842436277,0.7952712842436277,-1.7325552978164749,0.0,0.06437375670604782
1350080,-1.2304287958310058,1.823406528761611,2.090246508580383,-1.6455132088824294,42.37703,-74.41292,0.11296650882571713,1.4256126996198448,-1.4256126996198448,1.4256126996198448,-1.4256126996198448,0.0,0.0
1350140,-1.2304287958310058,1.823406528761611,2.090246508580383,-1.6455132088824294,42.42897,-74.47293,2.641436765523478,1.6473476602189432,1.4201272932921924,0.9088814677070032,-1.84616548127985,0.0,0.0
1365000,-1.70481098217549,1.8827043020546717,2.4163842616922158,-1.7641087554685504,41.86648,-74.4871,2.300606215133352,2.101788394072445,-1.5337374767555678,1.7609578436823186,-2.6982418572551654,0.5279165536803894,0.0
1411300,-1.1711310225379452,1.8827043020546717,1.8827043020546717,-1.3490243424171269,39.30694,-74.82056,1.81778330239162,-0.3408343691984287,2.10181194339031,-1.0793088357950242,1.0793088357950242,-4.824186507069395,0.44837437725545115
1413500,-1.260077682477536,1.823406528761611,2.090246508580383,-1.6751620955289597,42.14481,-74.65349,2.811852040718541,1.9029705730115376,1.2497120180971293,0.6816611007802523,-1.6189451143530993,0.0,0.020427972267405795
1414500,-1.2304287958310058,1.823406528761611,2.090246508580383,-1.6455132088824294,42.1062,-74.73043,2.6982418572551654,2.044983302340757,0.2272203669267508,0.8236738301094716,-1.7609578436823186,0.0,0.0
1415000,-1.2304287958310058,1.823406528761611,2.090246508580383,-1.6455132088824294,42.12009000000001,-74.81849,2.21539857753582,1.7893603895481625,0.0,0.6532585549144085,-1.5905425684872554,0.0,0.02430904067226869
1423000,-1.3193754557705966,1.8827043020546717,2.060597621933853,-1.5862154355893692,42.1662,-75.13989000000002,2.186996031669976,2.186996031669976,-1.3917247474263486,2.044983302340757,-2.9822673159136035,-0.0042751622684733676,0.015523997532338504
1434025,-1.497268775649778,1.9123531887012015,2.3274376017526253,-1.7937576421150807,41.99537,-74.50099,0.0,1.3135327033206472,-1.3135327033206472,1.3135327033206472,-1.3135327033206472,0.0,0.0
1435000,-1.6455132088824294,1.823406528761611,2.4163842616922158,-1.73445986882202,41.89009,-74.58988000000002,2.329008760999196,2.414216398596727,-1.5621400226214115,1.6757502060847869,-2.613034219657634,0.2999495521290545,0.0
1439500,-1.70481098217549,2.0309487352873226,2.0309487352873226,-1.6158643222358993,41.08815,-75.03766999999998,1.704171845992143,1.9597976228909648,-0.511251553797643,1.81778330239162,-1.81778330239162,-0.11130400860383627,0.1897103861722198
1440000,-1.73445986882202,1.9716509619942624,2.4163842616922158,-1.73445986882202,41.10667,-74.95222,1.3917403408935838,1.4201432049934528,-1.2213231562943694,1.9882004869908336,-1.9882004869908336,0.31452797736664034,0.03144307356280603
1440400,-1.7641087554685504,2.090246508580383,2.0309487352873226,-1.6158643222358993,41.08481,-75.21462,1.6189632536925362,1.81778330239162,-0.9088916511958098,1.8745890305913573,-1.8745890305913573,-0.19231122884691734,0.11388809795417967
1451800,-1.2304287958310058,1.9716509619942624,2.2384909418130348,-1.7641087554685504,40.66176,-75.62685,1.7609775741918814,1.7325747100920124,1.1645174280946309,1.022503107595286,-1.022503107595286,0.0,0.38552444648700956
