year  nDays  P  Q  P-Q   Q/P  (P-Q)/p
1980.0 366.0 1716.7700074985623 987.098145495011 729.6718620035514 0.5749740158457641 0.42502598415423587
1981.0 364.0 1157.850002830848 279.81911080236415 878.030892028484 0.2416712960385451 0.758328703961455
1982.0 364.0 1552.2399955559522 461.4030833048925 1090.8369122510596 0.297249835480264 0.7027501645197359
1983.0 364.0 1750.4900058731437 771.6293962182049 978.8606096549388 0.44080765593021276 0.5591923440697872
1984.0 365.0 1356.5099981576204 454.0443322472388 902.4656659103816 0.33471506503004844 0.6652849349699516
1985.0 364.0 1371.6400046329945 375.8547465870358 995.7852580459587 0.27401850727414595 0.725981492725854
1986.0 364.0 1269.4800015240908 350.3719932694124 919.1080082546783 0.2759964653628011 0.7240035346371989
1987.0 364.0 1388.6599900349975 588.2495229315118 800.4104671034856 0.4236094703907229 0.5763905296092771
1988.0 365.0 1322.8399986587465 369.84514219621275 952.9948564625338 0.2795841844601055 0.7204158155398945
1989.0 364.0 1533.950001919642 563.7376983063879 970.2123036132542 0.3675072183584247 0.6324927816415753
1990.0 364.0 1436.3700007032603 768.1340529252111 668.2359477780492 0.5347745027737459 0.46522549722625406
1991.0 364.0 1773.1599959488958 720.1815982062918 1052.978397742604 0.4061571430957594 0.5938428569042407
1992.0 365.0 1530.079997221008 436.2185891281016 1093.8614080929065 0.28509528254756555 0.7149047174524346
1993.0 364.0 1535.3299983162433 801.4020044124885 733.9279939037548 0.521973781070757 0.47802621892924296
1994.0 364.0 1522.94999974221 601.9440596531564 921.0059400890535 0.3952487342033866 0.6047512657966134
1995.0 364.0 1538.7600055057555 408.2291898396479 1130.5308156661076 0.26529750473042235 0.7347024952695776
1996.0 365.0 1316.880000302568 350.0826184434121 966.797381859156 0.265842459725242 0.734157540274758
1997.0 364.0 1807.3299963083118 619.9309896271265 1187.3990066811853 0.3430092959743986 0.6569907040256013
1998.0 364.0 1481.5900049582124 590.8424736750081 890.7475312832042 0.3987894570682343 0.6012105429317657
1999.0 364.0 1134.6300048418343 256.06626050157007 878.5637443402643 0.22568260966910117 0.7743173903308989
2000.0 365.0 1041.0699975937605 137.15097564543666 903.9190219483238 0.13174039782381167 0.8682596021761884
2001.0 364.0 1615.8600027263165 555.424517998068 1060.4354847282484 0.3437330691154821 0.6562669308845179
2002.0 364.0 1591.9000014998019 532.9966997952725 1058.9033017045294 0.3348179529449789 0.6651820470550212
2003.0 364.0 1545.139996105805 537.8488048820983 1007.2911912237067 0.34809066248859727 0.6519093375114027
2004.0 365.0 1681.6199939083308 590.0314626495104 1091.5885312588202 0.3508708654671684 0.6491291345328315
2005.0 364.0 1348.7499970439821 460.93348380656016 887.816513237422 0.3417486449058575 0.6582513550941426
2006.0 364.0 1328.2099955938756 309.10942761998143 1019.1005679738942 0.23272632237778856 0.7672736776222114
2007.0 364.0 1017.7200008127838 144.5046499517576 873.2153508610262 0.141988611638124 0.858011388361876
2008.0 365.0 1645.8600007314235 403.5001959726565 1242.359804758767 0.2451607037010075 0.7548392962989925
2009.0 364.0 1654.8399996235967 488.7363124835138 1166.103687140083 0.295337502474366 0.704662497525634
2010.0 364.0 1207.3000013493001 325.9604344831202 881.3395668661799 0.26999124833829286 0.7300087516617071
2011.0 364.0 1388.1900023370981 266.79089769321916 1121.399104643879 0.19218615408846143 0.8078138459115385
2012.0 365.0 1735.1800022684038 430.4615531161114 1304.7184491522924 0.2480789039485058 0.7519210960514942
2013.0 364.0 1599.8400040827692 614.3414864091357 985.4985176736335 0.3840018282086614 0.6159981717913386
