year  nDays  P  Q  P-Q   Q/P  (P-Q)/p
1983.0 46.0 0.0 0.0 0.0 0.0 0.0
1984.0 365.0 0.0 305.1402351171254 -305.1402351171254 305.1402351171254 -305.1402351171254
1985.0 364.0 0.0 204.91105941643679 -204.91105941643679 204.91105941643679 -204.91105941643679
1986.0 364.0 0.0 131.37711699740186 -131.37711699740186 131.37711699740186 -131.37711699740186
1987.0 364.0 0.0 240.65898606882837 -240.65898606882837 240.65898606882837 -240.65898606882837
1988.0 365.0 0.0 104.7935574524868 -104.7935574524868 104.7935574524868 -104.7935574524868
1989.0 364.0 0.0 331.1569158539391 -331.1569158539391 331.1569158539391 -331.1569158539391
1990.0 364.0 0.0 300.61024123430894 -300.61024123430894 300.61024123430894 -300.61024123430894
1991.0 364.0 0.0 334.1007258572039 -334.1007258572039 334.1007258572039 -334.1007258572039
1992.0 365.0 0.0 258.9229390936974 -258.9229390936974 258.9229390936974 -258.9229390936974
1993.0 364.0 0.0 339.9720203021132 -339.9720203021132 339.9720203021132 -339.9720203021132
1994.0 364.0 0.0 304.85332219053277 -304.85332219053277 304.85332219053277 -304.85332219053277
1995.0 364.0 0.0 300.4270129399996 -300.4270129399996 300.4270129399996 -300.4270129399996
1996.0 365.0 0.0 268.970449200911 -268.970449200911 268.970449200911 -268.970449200911
1997.0 364.0 0.0 282.38814415174187 -282.38814415174187 282.38814415174187 -282.38814415174187
1998.0 364.0 0.0 344.35317376995437 -344.35317376995437 344.35317376995437 -344.35317376995437
1999.0 364.0 0.0 85.83351059744116 -85.83351059744116 85.83351059744116 -85.83351059744116
2000.0 365.0 0.0 98.36563107666842 -98.36563107666842 98.36563107666842 -98.36563107666842
2001.0 364.0 0.0 95.45907459892815 -95.45907459892815 95.45907459892815 -95.45907459892815
2002.0 364.0 0.0 78.64448342129342 -78.64448342129342 78.64448342129342 -78.64448342129342
2003.0 364.0 0.0 378.69727645532805 -378.69727645532805 378.69727645532805 -378.69727645532805
2004.0 365.0 0.0 78.16605784901184 -78.16605784901184 78.16605784901184 -78.16605784901184
2005.0 364.0 0.0 152.84209434182776 -152.84209434182776 152.84209434182776 -152.84209434182776
2006.0 364.0 0.0 71.2421125155875 -71.2421125155875 71.2421125155875 -71.2421125155875
2007.0 364.0 0.0 117.11033693256378 -117.11033693256378 117.11033693256378 -117.11033693256378
2008.0 365.0 0.0 90.8923655880226 -90.8923655880226 90.8923655880226 -90.8923655880226
2009.0 364.0 0.0 270.5286712275004 -270.5286712275004 270.5286712275004 -270.5286712275004
2010.0 364.0 0.0 142.81750948653712 -142.81750948653712 142.81750948653712 -142.81750948653712
2011.0 0.0 0.0 0.0 0.0 0.0 0.0
2012.0 0.0 0.0 0.0 0.0 0.0 0.0
2013.0 0.0 0.0 0.0 0.0 0.0 0.0
